group,x,bin,isknot,mid,fit,cohort
BHS,21.11320754716981,3,0,0,56.71103207806704,1970s
BHS,28.176470588235293,4,0,0,38.5896185099843,1970s
BHS,35.96551724137931,5,0,0,44.533730915616076,1970s
BHS,44.02040816326531,6,0,0,54.35217849267021,1970s
BHS,52.61818181818182,7,0,0,56.000571874354286,1970s
BHS,60.142857142857146,8,0,0,63.892294903852125,1970s
BHS,67.05660377358491,9,0,0,53.055228259163684,1970s
BHS,74.32692307692308,10,0,0,76.89400479492181,1970s
BHS,5.180555555555555,1,0,0,44.43252739972385,1980s
BHS,14.093333333333334,2,0,0,52.15320400602805,1980s
BHS,22,3,0,0,32.81455414122038,1980s
BHS,29.460526315789473,4,0,0,36.44742867159764,1980s
BHS,38.082191780821915,5,0,0,48.542228068383984,1980s
BHS,45.59375,6,0,0,56.239183644880946,1980s
BHS,52.94444444444444,7,0,0,63.67541730242686,1980s
