group,x,bin,isknot,mid,fit,cohort
ARG,30.999999999999954,5,0,0,50.02901078457553,Before 1950s
ARG,31.333333333333286,5,0,0,50.30178605378367,Before 1950s
ARG,31.666666666666618,5,0,0,50.57456132299181,Before 1950s
ARG,31.99999999999995,5,0,0,50.84733659219995,Before 1950s
ARG,32.333333333333286,5,0,0,51.12011186140809,Before 1950s
ARG,32.66666666666662,5,0,0,51.39288713061624,Before 1950s
ARG,32.99999999999996,5,0,0,51.66566239982438,Before 1950s
ARG,33.33333333333329,5,0,0,51.938437669032524,Before 1950s
ARG,33.66666666666663,5,0,0,52.211212938240664,Before 1950s
ARG,33.999999999999964,5,1,0,52.4839882074488,Before 1950s
ARG,34.3333333333333,6,0,0,52.75676347665694,Before 1950s
ARG,34.666666666666636,6,0,0,53.02953874586509,Before 1950s
ARG,34.99999999999997,6,0,0,53.30231401507323,Before 1950s
ARG,35.33333333333331,6,0,0,53.575089284281376,Before 1950s
ARG,35.66666666666664,6,0,0,53.847864553489515,Before 1950s
ARG,35.99999999999998,6,0,0,54.120639822697655,Before 1950s
ARG,36.333333333333314,6,0,0,54.393415091905794,Before 1950s
ARG,36.66666666666665,6,0,0,54.666190361113934,Before 1950s
ARG,36.999999999999986,6,0,0,54.93896563032208,Before 1950s
ARG,37.33333333333332,6,0,1,55.21174089953023,Before 1950s
ARG,37.66666666666666,6,0,0,55.48451616873837,Before 1950s
ARG,37.99999999999999,6,0,0,55.757291437946506,Before 1950s
ARG,38.33333333333333,6,0,0,56.030066707154646,Before 1950s
ARG,38.666666666666664,6,0,0,56.302841976362785,Before 1950s
ARG,39,6,0,0,56.57561724557093,Before 1950s
ARG,39.333333333333336,6,0,0,56.84839251477907,Before 1950s
ARG,39.66666666666667,6,0,0,57.12116778398722,Before 1950s
ARG,40.00000000000001,6,0,0,57.39394305319536,Before 1950s
ARG,40.33333333333334,6,0,0,57.6667183224035,Before 1950s
ARG,40.66666666666668,6,0,0,57.93949359161164,Before 1950s
ARG,41.000000000000014,6,1,0,58.21226886081978,Before 1950s
ARG,41.2857142857143,7,0,0,58.446076234426755,Before 1950s
ARG,41.571428571428584,7,0,0,58.679883608033734,Before 1950s
ARG,41.85714285714287,7,0,0,58.91369098164071,Before 1950s
ARG,42.14285714285715,7,0,0,59.147498355247684,Before 1950s
ARG,42.42857142857144,7,0,0,59.38130572885466,Before 1950s
ARG,42.71428571428572,7,0,0,59.61511310246164,Before 1950s
ARG,43.00000000000001,7,0,0,59.848920476068614,Before 1950s
ARG,43.28571428571429,7,0,0,60.08272784967559,Before 1950s
ARG,43.57142857142858,7,0,0,60.316535223282564,Before 1950s
ARG,43.85714285714286,7,0,1,60.55034259688954,Before 1950s
ARG,44.142857142857146,7,0,0,60.78414997049652,Before 1950s
ARG,44.42857142857143,7,0,0,61.01795734410349,Before 1950s
ARG,44.714285714285715,7,0,0,61.25176471771047,Before 1950s
ARG,45,7,0,0,61.48557209131745,Before 1950s
ARG,45.285714285714285,7,0,0,61.71937946492442,Before 1950s
ARG,45.57142857142857,7,0,0,61.9531868385314,Before 1950s
ARG,45.857142857142854,7,0,0,62.18699421213838,Before 1950s
ARG,46.14285714285714,7,0,0,62.42080158574535,Before 1950s
