colorr,epct05,epct25,epct50,epct75,epct95,boot
7,2.8142590756405914,11.408088966294658,22.150376329612243,32.89266369292983,41.48649358358389,4
8,7.2394927995930445,17.582012052098193,30.51016111772963,43.43831018336106,53.78082943586622,4
9,1.9045258897487591,10.067260424977933,20.2706785940144,30.474096763050873,38.63683129828004,4
1,17.107556953336097,27.211218386070932,39.840795176989474,52.47037196790802,62.57403340064286,5
2,14.980682602154586,22.916754631955577,32.83684466920681,42.756934706458054,50.693006736259036,5
3,14.346804387960514,22.62796532703731,32.979416500883296,43.33086767472929,51.61202861380608,5
4,11.375592857881864,19.398170949479436,29.426393563976397,39.45461617847336,47.477194270070925,5
5,8.851044654156997,17.104879948551794,27.42217406654529,37.73946818453878,45.993303478933576,5
6,6.759413578810105,15.12145039177013,25.573996407970164,36.026542424170195,44.38857923713022,5
7,3.7864388137083456,12.75004168617563,23.954545276759735,35.15904886734384,44.122651739811126,5
8,6.67812669432049,16.79774915171742,29.44727722346358,42.09680529520974,52.21642775260667,5
9,2.6197157854817794,11.822088638178593,23.325054704049613,34.82802076992063,44.030393622617446,5
1,21.182167728352933,29.254537005198998,39.34499860125658,49.435460197314164,57.507829474160225,6
2,19.487144293920533,27.26007436960826,36.97623696421792,46.692399558827574,54.4653296345153,6
3,18.707212913209148,26.77934510935647,36.86951035454062,46.959675599724775,55.031807795872105,6
4,14.518792735426661,22.375368697523392,32.196088650144304,42.01680860276522,49.87338456486195,6
5,12.736703113552073,21.402798414912098,32.23541754161213,43.06803666831216,51.734131969672184,6
6,11.108587239698299,20.020708942873146,31.160861071841705,42.30101320081026,51.21313490398511,6
7,6.414162368098164,15.436141340480624,26.713615055958698,37.99108877143678,47.013067743819235,6
8,10.144884886076483,20.842658767800028,34.21487611995446,47.58709347210889,58.28486735383243,6
9,8.895632712993221,17.918673989134543,29.197475584311196,40.47627717948785,49.499318455629165,6
1,19.85703585005231,29.396976200338685,41.32190163819665,53.246827076054615,62.786767426341,7
2,19.086588561993736,26.910459489128947,36.69029814804796,46.47013680696697,54.29400773410218,7
3,19.78351753062612,27.775220195829235,37.76484852733313,47.75447685883701,55.74617952404013,7
4,15.29398363608652,22.900296141499748,32.40818677326628,41.91607740503282,49.52238991044605,7
5,14.330342527070329,22.719094439109305,33.20503432915803,43.69097421920676,52.079726131245735,7
6,11.109636490139309,19.34896889681893,29.648134405168463,39.947299913518,48.186632320197624,7
7,7.746140733699347,16.42397666518813,27.2712715795491,38.11856649391008,46.79640242539885,7
8,9.601252289065132,20.026121937426204,33.057208997877545,46.088296058328886,56.51316570668996,7
9,7.601084649353915,17.02422390868336,28.803147982845164,40.582072057006975,50.005211316336414,7
1,19.712286245643554,29.480331381597324,41.69038780153954,53.900444221481756,63.668489357435526,8
2,18.968975182454855,27.03083145626934,37.10815179853745,47.185472140805544,55.24732841462003,8
3,17.455022185709186,25.417219479742748,35.3699660972847,45.32271271482666,53.284910008860216,8
4,14.413497116978219,22.493859197148737,32.59431179736188,42.69476439757503,50.77512647774555,8
