colorr,slope,boot
8,0.5213663207092619,99
9,0.44759045253308166,99
1,0.3992396613532431,100
2,0.31892983542476994,100
3,0.40480824372183655,100
4,0.39073741833409126,100
5,0.4200536871422312,100
6,0.4197170097393259,100
7,0.44934004256230986,100
8,0.5623901855461628,100
9,0.45058991156596623,100
1,0.4339162622950683,101
2,0.3871122458454447,101
3,0.3946308555414564,101
4,0.3952077064061473,101
5,0.42848487429478765,101
6,0.4136832354613242,101
7,0.4221044876111604,101
8,0.5273898666216081,101
9,0.47371438479516403,101
1,0.4677300273806199,102
2,0.4114759620080881,102
3,0.41183769986537866,102
4,0.3943033724336974,102
5,0.4280409933893623,102
6,0.4363864348400911,102
7,0.442410203641058,102
8,0.5039603616190786,102
9,0.4695789883287468,102
1,0.44450542625120615,103
2,0.43139540837372903,103
3,0.4242156005702823,103
4,0.39957405258203704,103
5,0.42720242300971467,103
6,0.41915742068300277,103
7,0.43237501577219817,103
8,0.5273058846001902,103
9,0.4484888774743493,103
1,0.46724261218657265,104
2,0.38011197583918355,104
3,0.3722938480490703,104
4,0.3831829962406396,104
5,0.42894272011423373,104
6,0.4142953214086985,104
7,0.44382272804633804,104
8,0.5323860574701873,104
9,0.4474527371188452,104
1,0.4875285389233903,105
2,0.40073201731280506,105
3,0.44208207581467257,105
4,0.4041564979545337,105
5,0.42056921378960777,105
6,0.4087286836549745,105
7,0.4434375631969094,105
8,0.5230372535468469,105
9,0.4518926845351298,105
1,0.44150151927071174,106
2,0.46558205024763993,106
3,0.4140496736166351,106
4,0.40727989082259713,106
5,0.40463274936227045,106
6,0.4127631621169779,106
7,0.4386219883868005,106
8,0.5322442467505293,106
9,0.49842433414378345,106
1,0.5571351949662179,107
2,0.4018135760247541,107
3,0.4110507620225072,107
4,0.4029430815328401,107
5,0.4317944346777458,107
6,0.42710492022286556,107
7,0.44241780658289115,107
8,0.5171492939511924,107
9,0.442999535752613,107
1,0.4860301230456013,108
2,0.41209476368443587,108
3,0.4504522139488526,108
4,0.37727613776408586,108
5,0.42982302163176656,108
6,0.4308137116266234,108
7,0.4157201913595553,108
8,0.5180939152232993,108
9,0.49405878210389403,108
1,0.45470707739537514,109
2,0.38391631701438134,109
3,0.39990646085993387,109
4,0.38094945660644164,109
5,0.4093156054329496,109
6,0.4359870601022353,109
7,0.4337147766824974,109
8,0.5145547036102448,109
9,0.4800022898239071,109
1,0.45361704274231357,110
2,0.4401718908991441,110
3,0.3917055673870895,110
4,0.4038744285871151,110
5,0.41598385325290393,110
6,0.43194051027562336,110
7,0.43885270379300867,110
8,0.5315719140255404,110
9,0.4899670012206347,110
1,0.46399021445262234,111
2,0.44677998183814915,111
3,0.3998769826259821,111
4,0.4013983001259014,111
5,0.42381350456374256,111
6,0.419029682492165,111
7,0.44036440502537416,111
8,0.5117260064114635,111
9,0.49480825997522215,111
1,0.4578408396248099,112
2,0.414982045606942,112
3,0.4124489886565756,112
4,0.38867734959358835,112
5,0.4163299940332643,112
6,0.4346954840922005,112
7,0.4310024603113661,112
8,0.4953288865792533,112
9,0.46045977790902104,112
1,0.48699552497475124,113
2,0.36096712237436235,113
3,0.4093173053665448,113
4,0.4022251943954357,113
5,0.4138571406606182,113
6,0.4386799333077911,113
7,0.4417355026589313,113
8,0.5094281759701365,113
9,0.42752182016875384,113
1,0.481636126703393,114
2,0.40374133706544835,114
3,0.4116239629381265,114
4,0.39588653441094296,114
5,0.4090419435990471,114
6,0.41157359977983154,114
7,0.4649854651226669,114
8,0.5238036597883358,114
9,0.4570067826824096,114
1,0.47029961386338176,115
2,0.3887854552273977,115
3,0.40707985846448447,115
4,0.40410551729715305,115
5,0.4312103965825412,115
6,0.400201970393947,115
7,0.4408335551200905,115
8,0.5142170589393835,115
9,0.4735718952791205,115
1,0.4487131824166134,116
2,0.4196167231042653,116
3,0.38940361187692,116
4,0.36726228548269063,116
5,0.4238481581862522,116
6,0.4258528832758265,116
7,0.44805243800003797,116
8,0.563615092257391,116
9,0.4942257285042526,116
1,0.4114931867772005,117
2,0.4052696865235882,117
3,0.4091817169095108,117
4,0.4114146397442551,117
5,0.4309704948538881,117
6,0.43213787606153525,117
7,0.44154434097425993,117
8,0.5152541600870468,117
9,0.420655720839594,117
1,0.42170510933738087,118
2,0.42953035577495635,118
3,0.3809846949243667,118
4,0.38118394890108503,118
5,0.41149250204774807,118
6,0.4277169976282373,118
7,0.45279727937311304,118
8,0.5181991261422223,118
9,0.46944010531149144,118
1,0.45271690766004474,119
2,0.4323882067066382,119
3,0.3931673580634112,119
4,0.41726650208837424,119
5,0.41410847648256655,119
6,0.43134973860959797,119
7,0.42655572761974725,119
8,0.5159795993241998,119
9,0.4306321530657818,119
1,0.467333909355937,120
2,0.4553783131623875,120
3,0.40799995859079274,120
4,0.3938485252790218,120
5,0.4240255710733154,120
6,0.42738269695830017,120
7,0.4600698999217297,120
