group,cohort,cohort_size,relative_rank,relative_rank_se,relative_country,relative_country_se,mean_country,ed,ed_mothed,abs_ed_im
CHL,1960s,526.6283419728279,0.7422781870480522,0.05365097777701003,0.510164697514905,0.04016325669319505,12.67909709756874,10.864013266998342,4.989238410596023,0.9252234505643118
CHL,1970s,600.7767339646816,0.6701314351315292,0.04417380337584243,0.4397978397347075,0.02858323889433172,12.357284011242223,11.915739268680447,5.699999999999998,0.8439663723576983
CHL,1980s,688.837664604187,0.7054801462332274,0.04661214868953369,0.42261447267057506,0.028301593489933212,9.691533460883742,12.497637795275589,6.734645669291338,0.7240666655070509
CHL,1990s,556.8985225260258,0.47661760678302284,0.05002587246392212,0.2577342478567715,0.028483327481538177,4.698080251424816,12.60764587525151,8.285714285714286,0.5960010451867152
COL,Before 1950s,189.25221168994884,0.7347788575652998,0.09025102644924857,0.7153231346330369,0.08993875678959873,11.827634037115251,5.612565445026178,2.9244791666666665,0.2708333333333333
COL,1950s,284.6973781585692,0.7712930850630879,0.0619241911138023,0.7501264522962738,0.05702360812190673,8.109713183132063,7.202090592334495,3.655709342560554,0.4671280276816609
COL,1960s,418.49348211288446,0.7433554838002091,0.053427349266710604,0.6622063511165724,0.04280099181309579,11.092606874177788,8.953051643192488,4.099531615925058,0.6112412177985949
COL,1970s,660.6047927141188,0.6181648861853255,0.04534431213166003,0.5222431477261076,0.033758934387520895,10.023969920302997,10.137518684603885,5.14828614008942,0.6915052160953801
COL,1980s,883.934238731861,0.7151887185798841,0.03455882113096409,0.4811135327318508,0.026073507934067364,8.344823340707036,11.347826086956522,6.517241379310342,0.7563959955506118
COL,1990s,739.3486179113387,0.5083991220946658,0.03830167498245702,0.24321983858636104,0.024230150493692874,5.409917505466357,11.153538050734312,7.621010638297871,0.6569148936170213
CRI,Before 1950s,423.0585486292839,0.6233248486833445,0.0564515851868203,0.7731311931337306,0.06572090369651205,5.078939678983769,7.033175355450236,3.229508196721311,0.5620608899297423
CRI,1950s,476.44876754283905,0.6076429143506104,0.042723153037736536,0.7005178175591873,0.04808716939419011,2.3143632659957776,8.902286902286903,4.232365145228217,0.6991701244813278
CRI,1960s,593.4250314235687,0.428507606772445,0.04233321228333362,0.5182783223220685,0.054915496288342025,1.7002075198468853,8.527638190954773,4.050833333333333,0.72
